"Template Type","Loại mẫu",module,Magento_Email
"Action","Thao tác",module,Magento_Email
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Loại tập tin cho phép: jpg, jpeg, gif, png. Để tối ưu hóa các biểu tượng cho màn hình độ phân giải cao, tải lên một hình ảnh 3x có kích thước bình thường và sau đó chỉ định 1x có kích thước chiều rộng/chiều cao như vùng dưới đây.",module,Magento_Email
"Logo Image","Hình ảnh biểu tượng",module,Magento_Email
"Logo Image Alt","Hình ảnh Logo thay thế",module,Magento_Email
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Nếu chỉ cần một hình ảnh đã được tải lên trên. Nhập vào số lượng điểm ảnh, mà không phụ thêm ""px"".",module,Magento_Email
"Logo Width","Chiều rộng của biểu tượng",module,Magento_Email
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Nếu chỉ cần một hình ảnh đã được tải lên trên. Nhập kích thước chiều cao hình ảnh điểm ảnh mà không cần phụ thêm ""px"".",module,Magento_Email
"Logo Height","Chiều cao của logo",module,Magento_Email
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Mẫu email được lựa chọn dựa trên chủ đề dự phòng, khi ""Mặc định"" tùy chọn được chọn.",module,Magento_Email
"Header Template","Tiêu đề mẫu",module,Magento_Email
"Footer Template","Mẫu chân trang",module,Magento_Email
"We're sorry, an error has occurred while generating this email.","Chúng tôi rất tiếc, đã xảy ra lỗi trong khi tạo ra các email này.",module,Magento_Email
"Emails","Email",module,Magento_Email
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Loại tập tin cho phép: jpg, jpeg, gif, png. Để tối ưu hóa các biểu tượng cho màn hình độ phân giải cao, tải lên một hình ảnh 3x có kích thước bình thường và sau đó chỉ định 1x có kích thước chiều rộng/chiều cao như vùng dưới đây.",module,Magento_Email
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Chỉ cần thiết nếu hình ảnh đã được tải lên. Nhập vào số lượng điểm ảnh không cần thêm chữ ""px"".",module,Magento_Email
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn.",module,Magento_Email
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>",module,Magento_Email
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again.",module,Magento_Email
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.",module,Magento_Email
"Change Encryption Key","Thay đổi mã khóa",module,Magento_EncryptionKey
"Encryption Key","Khoá mật mã",module,Magento_EncryptionKey
"New Encryption Key","Khoá mật mã mới",module,Magento_EncryptionKey
"The encryption key is used to protect passwords and other sensitive data.","Khoá mật mã được sử dụng để bảo vệ mật khẩu và dữ liệu nhạy cảm khác.",module,Magento_EncryptionKey
"Auto-generate a Key","Tự động tạo ra một chìa khóa",module,Magento_EncryptionKey
"No","Không",module,Magento_EncryptionKey
"Yes","Có",module,Magento_EncryptionKey
"The generated key will be displayed after changing.","Chìa khóa được tạo ra sẽ được hiển thị sau khi thay đổi.",module,Magento_EncryptionKey
"New Key","Khoá mới",module,Magento_EncryptionKey
"Deployment configuration file is not writable.","Triển khai cấu hình tập tin không phải là có thể ghi được.",module,Magento_EncryptionKey
"Please enter an encryption key.","Vui lòng nhập một mã khóa mã hóa.",module,Magento_EncryptionKey
"The encryption key has been changed.","Mã khóa đã được thay đổi.",module,Magento_EncryptionKey
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Đây là chìa khóa mã hóa mới của bạn: %1. Hãy chắc chắn bạn đã ghi nó lại và chăm sóc nó!",module,Magento_EncryptionKey
"Manage Encryption Key","Quản lý các khoá mật mã",module,Magento_EncryptionKey
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","Đây là khóa mã hóa mới của bạn: <span style=""font-family:monospace;"">%1</span>. Để chắc chắn hãy viết nó ra và giữ nó cẩn thận!",module,Magento_EncryptionKey
"Private Sales","Kênh bán hàng riêng",module,Magento_Enterprise
"Payment Type","Hình thức thanh toán",module,Magento_Eway
"Transaction Type","Loại giao dịch",module,Magento_Eway
"Transaction ID","ID giao dịch",module,Magento_Eway
"BeagleScore","BeagleScore",module,Magento_Eway
"CVV Verification","Yêu Cầu Xác Nhận Mã Bảo Mật CVV",module,Magento_Eway
"Address Verification","Xác minh địa chỉ",module,Magento_Eway
"Email Verification","Xác minh email",module,Magento_Eway
"Mobile Verification","Xác minh điện thoại di động",module,Magento_Eway
"Phone Verification","Xác minh điện thoại",module,Magento_Eway
"Card number","Số thẻ",module,Magento_Eway
"Expiration Date","Ngày hết hạn",module,Magento_Eway
"Response Code","Phản ứng mã",module,Magento_Eway
"Fraud Message","Thông báo lừa đảo",module,Magento_Eway
"Approve Message","Chấp nhận tin nhắn",module,Magento_Eway
"Sorry, but something went wrong","Xin lỗi, nhưng có gì đó đã đi sai",module,Magento_Eway
"Wrong response type","Loại phản ứng sai",module,Magento_Eway
"Transaction has been declined. Please try again later.","Giao dịch đã bị từ chối, vui lòng thử lại sau.",module,Magento_Eway
"Authorize Only","Chỉ ủy quyền",module,Magento_Eway
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch",module,Magento_Eway
"Credit Card Type","Loại thẻ tín dụng",module,Magento_Eway
"Credit Card Number","Số thẻ tín dụng",module,Magento_Eway
"Card Verification Number","Số xác minh thẻ",module,Magento_Eway
"eWAY","eWAY",module,Magento_Eway
"Enabled","Cho phép",module,Magento_Eway
"Connection Type","Kiểu kết nối",module,Magento_Eway
"Title","Tiêu đề",module,Magento_Eway
"Sandbox Mode","Chế độ sandbox",module,Magento_Eway
"Live API Key","Khóa API Sống",module,Magento_Eway
"Live API Password","Mật khẩu API Sống",module,Magento_Eway
"Live Client-side Encryption Key","Khách hàng tạo mã khóa trực tiếp",module,Magento_Eway
"Sandbox API Key","Sandbox API Key",module,Magento_Eway
"Sandbox API Password","Mật khẩu Sandbox API",module,Magento_Eway
"Sandbox Client-side Encryption Key","Sandbox Client-side mã khóa",module,Magento_Eway
"Payment Action","Hành động thanh toán",module,Magento_Eway
"Debug","Sửa Lỗi",module,Magento_Eway
"Credit Card Types","Các Loại Thẻ Tín Dụng",module,Magento_Eway
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng",module,Magento_Eway
